ID Cliente,Zona,País,Tipo de producto,Canal de venta,Prioridad,Fecha pedido,ID Pedido,Fecha envío,Unidades,Precio Unitario,Coste unitario,Importe venta total,Importe Coste total
C2421,Europa,United Kingdom,Snacks,Offline,Critica,2020-10-12,1970-01-01 00:00:00,2020-11-30,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1908,Europa,Malta,Carnicos,Online,Alta,2020-01-26,1970-01-01 00:00:00,2020-01-28,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7652,Australia y Oceania,Marshall Islands,Cereales,Online,Critica,2020-11-09,1970-01-01 00:00:00,2020-11-21,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2326,Africa,Iran,Frutas,Offline,Baja,2021-08-21,1970-01-01 00:00:00,2021-10-02,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5305,Centroamerica y Caribe,Guatemala,Alimento infantil,Offline,Media,2022-09-30,1970-01-01 00:00:00,2022-11-12,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5168,Centroamerica y Caribe,Grenada,Bebida,Offline,Baja,2022-01-21,1970-01-01 00:00:00,2022-02-21,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C9197,Australia y Oceania,Fiji,Snacks,Offline,Media,2022-02-17,1970-01-01 00:00:00,2022-02-27,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2876,Africa,Tunisia,Cosmeticos,Offline,Media,2020-03-21,1970-01-01 00:00:00,2020-05-07,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8394,Centroamerica y Caribe,Grenada,Cuidado personal,Offline,Critica,2021-02-13,1970-01-01 00:00:00,2021-04-01,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8141,Australia y Oceania,Australia,Material de oficina,Online,Media,2021-06-15,1970-01-01 00:00:00,2021-07-12,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3212,Norteamerica,Greenland,Cosmeticos,Online,Alta,2022-07-15,1970-01-01 00:00:00,2022-08-30,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8904,Africa,Angola,Snacks,Online,Critica,2020-05-13,1970-01-01 00:00:00,2020-06-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5218,Africa,Zambia,Bebida,Offline,Critica,2021-05-06,1970-01-01 00:00:00,2021-05-22,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4358,Africa,Kenya,Verduras,Offline,Alta,2020-11-07,1970-01-01 00:00:00,2020-12-25,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1229,Africa,Azerbaijan,Frutas,Offline,Critica,2021-10-20,1970-01-01 00:00:00,2021-11-17,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4942,Africa,Mozambique,Cuidado personal,Offline,Critica,2021-10-21,1970-01-01 00:00:00,2021-11-18,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7310,Australia y Oceania,Federated States of Micronesia,Cosmeticos,Offline,Critica,2020-04-19,1970-01-01 00:00:00,2020-04-30,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5348,Centroamerica y Caribe,Dominican Republic,Snacks,Offline,Critica,2022-11-03,1970-01-01 00:00:00,2022-11-04,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5778,Africa,Libya,Material de oficina,Online,Alta,2022-07-10,1970-01-01 00:00:00,2022-07-22,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2519,Asia,Uzbekistan,Material de oficina,Online,Baja,2021-06-01,1970-01-01 00:00:00,2021-06-21,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8199,Asia,Sri Lanka,Cuidado personal,Offline,Media,2020-07-28,1970-01-01 00:00:00,2020-09-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4645,Africa,The Gambia,Cosmeticos,Online,Critica,2021-06-08,1970-01-01 00:00:00,2021-07-25,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1390,Asia,Myanmar,Snacks,Offline,Media,2021-07-26,1970-01-01 00:00:00,2021-08-04,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4168,Asia,Bhutan,Ropa,Online,Critica,2021-10-15,1970-01-01 00:00:00,2021-10-21,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1418,Africa,Mali,Verduras,Online,Critica,2021-11-23,1970-01-01 00:00:00,2021-11-29,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4779,Africa,Burundi,Cuidado personal,Online,Alta,2022-01-31,1970-01-01 00:00:00,2022-03-12,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8598,Africa,Libya,Ropa,Offline,Alta,2021-07-11,1970-01-01 00:00:00,2021-08-05,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C3420,Africa,Nigeria,Ropa,Offline,Critica,2022-08-26,1970-01-01 00:00:00,2022-10-11,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C7497,Europa,Norway,Domestico,Online,Critica,2021-02-21,1970-01-01 00:00:00,2021-03-16,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8282,Africa,Kenya,Cosmeticos,Offline,Media,2021-08-30,1970-01-01 00:00:00,2021-10-08,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2932,Australia y Oceania,Papua New Guinea,Verduras,Online,Alta,2022-02-19,1970-01-01 00:00:00,2022-03-09,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C2806,Asia,North Korea,Cuidado personal,Offline,Baja,2020-11-17,1970-01-01 00:00:00,2021-01-02,1970-01-01,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C1968,Europa,Montenegro,Ropa,Offline,Media,2020-11-25,1970-01-01 00:00:00,2021-01-09,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8684,Europa,Norway,Frutas,Offline,Alta,2022-10-06,1970-01-01 00:00:00,2022-10-08,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4923,Africa,Lesotho,Ropa,Offline,Baja,2020-04-07,1970-01-01 00:00:00,2020-05-24,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C4857,Asia,Indonesia,Carnicos,Online,Alta,2021-12-02,1970-01-01 00:00:00,2021-12-15,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C5362,Africa,Iraq,Bebida,Online,Alta,2020-11-28,1970-01-01 00:00:00,2020-12-28,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8517,Asia,Singapore,Cereales,Online,Critica,2022-04-03,1970-01-01 00:00:00,2022-05-12,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
C8103,Asia,South Korea,Verduras,Online,Media,2021-05-15,1970-01-01 00:00:00,2021-05-31,1970-01-01 00:00:00,1970-01-01,1970-01-01,1970-01-01 00:00:00,1970-01-01 00:00:00
